,artists,genres
0,"""Cats"" 1981 Original London Cast",['show tunes']
1,"""Cats"" 1983 Broadway Cast",[]
2,"""Fiddler On The Roof” Motion Picture Chorus",[]
3,"""Fiddler On The Roof” Motion Picture Orchestra",[]
4,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",[]
5,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",[]
6,"""Mama"" Helen Teagarden",[]
7,"""Mista Dj Paul",[]
8,"""Test for Victor Young""",[]
9,"""Weird Al"" Yankovic","['antiviral pop', 'comedy rock', 'comic', 'parody']"
10,$IMEON,[]
11,$NOT,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
12,$pyda,[]
13,$uicideBoy$,"['dark trap', 'new orleans rap', 'underground hip hop']"
14,'Be More Chill' Ensemble,[]
15,'In The Heights' Original Broadway Company,"['broadway', 'show tunes']"
16,'Legally Blonde' Ensemble,"['broadway', 'hollywood', 'show tunes']"
17,'Legally Blonde' Greek Chorus,['show tunes']
18,'Little Women' Original Broadway Cast,[]
19,'Til Tuesday,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
20,((( O ))),"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
21,(Con La Participación De Eros Ramazzotti),[]
22,(Con La Participación de Marc Anthony),[]
23,(G)I-DLE,"['k-pop', 'k-pop girl group']"
24,(Hed) P.E.,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']"
25,*NSYNC,"['boy band', 'dance pop', 'europop', 'pop']"
26,+44,[]
27,-,"['alternative pop rock', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
28,...And You Will Know Us by the Trail of Dead,"['alternative rock', 'dance-punk', 'indie rock', 'lo-fi', 'modern rock', 'post-hardcore']"
29,...Bender,[]
30,03 Greedo,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']"
31,070 Shake,"['alternative r&b', 'indie r&b', 'new jersey rap']"
32,10 Ft. Ganja Plant,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']"
33,10 Years,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
34,"10,000 Maniacs","['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']"
35,100 gecs,"['art pop', 'escape room', 'hyperpop']"
36,101 Strings Orchestra,"['adult standards', 'ballroom', 'easy listening', 'lounge']"
37,1017 Eskimo,[]
38,10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
39,11/5,"['dirty texas rap', 'g funk', 'hyphy', 'west coast trap']"
40,112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
41,11:11,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
42,12 Pianists,[]
43,12 Stones,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
44,1422,[]
45,1776 Ensemble,[]
46,1776 Orchestra,[]
47,1788-L,"['brostep', 'edm', 'electro house', 'zapstep']"
48,18 Carat Affair,"['chillwave', 'future funk', 'hardvapour', 'vaporwave']"
49,1910 Fruitgum Company,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
50,1986 Omega Tribe,"['future funk', 'japanese city pop']"
51,1way Frank,['florida rap']
52,2 Brothers On The 4th Floor,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
53,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
54,2 Crows,[]
55,2 Guys n the Parque,[]
56,2 Hyped Brothers & A Dog,[]
57,2 In A Room,"['hip house', 'latin house', 'vogue']"
58,2 LIVE CREW,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']"
59,2 Pistols,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
60,2 Unlimited,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
61,2* Sweet,[]
62,20 Fingers,"['eurodance', 'hip house']"
63,20/20,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
64,2002,"['healing', 'new age']"
65,2014 ATHINAIKI DISCOGRAFIKI,[]
66,20th Century Fox Studio Orchestra,[]
67,21 Savage,"['atl hip hop', 'rap', 'trap']"
68,"22, Little Red, Tangle Eye & Hard Hair",[]
69,22Gz,['nyc rap']
70,24 Horas,"['bachata', 'latin', 'tropical']"
71,24hrs,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']"
72,24kGoldn,"['cali rap', 'pop rap']"
73,27CLUB,['emo rap']
74,2Baba,"['afro dancehall', 'afropop', 'nigerian hip hop', 'nigerian pop']"
75,2CELLOS,"['bow pop', 'cello', 'classify']"
76,2KBABY,[]
77,2NE1,"['dance pop', 'k-pop', 'k-pop girl group']"
78,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
79,2Pac a.k.a. Makaveli,[]
80,2forwOyNE,[]
81,2nd Chapter Of Acts,"['christian music', 'deep christian rock']"
82,2nd Generation Outlawz,[]
83,2nd II None,"['gangster rap', 'west coast rap']"
84,2nd South Carolina String Band,"['string band', 'traditional country']"
85,3 Doors Down,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
86,3 Inches Of Blood,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
87,3 in One,[]
88,3-2,[]
89,30 Roc,[]
90,311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
91,35MM: A Musical Exhibition Original Cast,[]
92,36 Crazyfists,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
93,38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
94,3BallMTY,"['mexican indie', 'trival']"
95,3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
96,3LW,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
97,3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
98,3T,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
99,3X Krazy,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
100,3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
101,3rd Strike,"['nu metal', 'rap rock']"
102,3年E組うた担(渚&茅野&業&磯貝&前原),[]
103,4 Non Blondes,"['new wave pop', 'pop rock']"
104,4 P.M.,"['anime rock', 'vocaloid']"
105,4 Skins,"['oi', 'punk', 'ska']"
106,4 Strings,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
107,40 Thevz,[]
108,42 Dugg,"['detroit trap', 'southern hip hop', 'trap']"
109,420 Unlovable,['meme rap']
110,42nd Street Ensemble,['broadway']
111,433,[]
112,45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
113,4B,"['brostep', 'electro house', 'electronic trap']"
114,4Him,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
115,4Minute,"['k-pop', 'k-pop girl group']"
116,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
117,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
118,504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']"
119,520Hz,['white noise']
120,54-40,"['canadian indie', 'canadian rock']"
121,5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap']"
122,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
123,645AR,['meme rap']
124,69 Boyz,['miami bass']
125,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
126,6cyclemind,"['classic opm', 'opm', 'pinoy rock']"
