,Unnamed: 0,Unnamed: 0.1,reviewid,artist,pub_date,genre,score
0,0,0,22703,massive attack,17,electronic,9.3
1,1,1,22721,krallice,17,metal,7.9
2,2,2,22659,uranium club,17,rock,7.3
3,3,3,22661,"kleenex, liliput",17,rock,9.0
4,4,4,22725,taso,17,electronic,8.1
5,5,6,22704,little simz,17,rap,7.1
6,6,7,22694,yotam avni,17,electronic,7.0
7,7,8,22714,brian eno,17,experimental,7.7
8,8,9,22724,the lox,17,rap,5.3
9,9,10,22715,harry bertoia,17,experimental,8.0
10,10,11,22745,run the jewels,17,rap,8.6
11,11,12,22700,steven warwick,17,electronic,7.6
12,12,13,22720,yasiin bey,17,rap,3.5
13,13,14,22699,"smoke dza, pete rock",17,rap,7.4
14,14,16,22666,senyawa,17,experimental,7.4
15,15,17,22719,"chance the rapper, jeremih",16,rap,8.1
16,16,18,22719,"chance the rapper, jeremih",16,pop_r_b,8.1
17,17,19,22667,jamire williams,16,experimental,7.2
18,18,20,22691,the-dream,16,rap,7.0
19,19,21,22691,the-dream,16,pop_r_b,7.0
20,20,22,22702,worm ouroboros,16,metal,7.5
21,21,23,22718,nine inch nails,16,rock,6.3
22,22,24,22706,elder ones,16,experimental,7.8
23,23,25,22695,the microphones,16,rock,6.5
24,24,26,22695,the microphones,16,experimental,6.5
25,25,27,22713,ben frost,16,electronic,7.3
26,26,28,22705,kacey musgraves,16,folk_country,6.8
27,27,29,22532,jay som,16,rock,8.2
28,28,30,22701,rashad becker,16,electronic,6.8
29,29,31,22707,ray charles,16,jazz,9.0
30,30,32,22708,ab-soul,16,rap,4.4
31,31,33,22559,pantera,16,metal,7.7
32,32,34,22692,gucci mane,16,rap,7.6
33,33,35,22677,mica levi,16,experimental,7.1
34,34,36,22469,kid cudi,16,rock,6.7
35,35,37,22469,kid cudi,16,rap,6.7
36,36,38,22711,sammus,16,rap,7.2
37,37,39,22678,hodgy,16,rap,5.0
38,38,40,22664,jeff parker,16,jazz,8.0
39,39,41,22685,a-trak,16,rap,6.4
40,40,42,22685,a-trak,16,electronic,6.4
41,41,44,22689,kevin abstract,16,rap,6.4
42,42,46,22681,deadmau5,16,electronic,5.9
43,43,47,22698,jessy lanza,16,pop_r_b,6.5
44,44,48,22684,peter broderick,16,experimental,6.7
45,45,49,22693,qasim naqvi,16,experimental,7.5
46,46,50,22686,post malone,16,rap,4.5
47,47,51,22643,bob dylan,16,rock,9.3
48,48,52,22640,"ricardo villalobos, umho",16,electronic,7.0
49,49,53,22688,peder mannerfelt,16,electronic,7.1
50,50,54,22696,j. cole,16,rap,6.7
51,51,55,22663,pink floyd,16,rock,8.8
52,52,56,22687,flume,16,electronic,6.6
53,53,57,22662,gaye su akyol,16,global,7.4
54,54,58,22317,jeff buckley,16,rock,8.0
55,55,60,22655,saba,16,rap,7.0
56,56,62,22627,simian mobile disco,16,rock,6.8
57,57,63,22627,simian mobile disco,16,electronic,6.8
58,58,64,22555,gas,16,electronic,9.5
59,59,65,22682,kodie shane,16,rap,7.8
60,60,66,22679,the orchestra of syrian musicians,16,global,8.0
61,61,67,22657,blessed initiative,16,electronic,7.5
62,62,68,22654,neil young,16,rock,6.7
63,63,69,22631,soundgarden,16,rock,8.3
64,64,70,22683,nick hook,16,electronic,7.0
65,65,71,22635,kjartan sveinsson,16,experimental,7.8
66,66,72,22653,the rolling stones,16,rock,6.9
67,67,73,22672,"gucci mane, lil uzi vert",16,rap,6.8
68,68,74,22536,young male,16,electronic,7.4
69,69,75,22676,alex izenberg,16,pop_r_b,6.3
70,70,76,22671,childish gambino,16,rap,7.2
71,71,77,22675,fetty wap,16,rap,6.4
72,72,78,22680,miranda lambert,16,folk_country,7.8
73,73,79,22641,denitia and sene,16,pop_r_b,6.6
74,74,80,22645,john legend,16,pop_r_b,7.0
75,75,81,22393,"yoko ono, john lennon",16,rock,6.8
76,76,82,22393,"yoko ono, john lennon",16,experimental,6.8
77,77,83,22660,coldcut,16,jazz,5.2
78,78,84,22660,coldcut,16,electronic,5.2
79,79,85,22553,"joan as police woman, benjamin lazar davis",16,rock,6.9
80,80,86,22553,"joan as police woman, benjamin lazar davis",16,pop_r_b,6.9
81,81,87,22626,brand new,16,rock,8.5
82,82,88,22639,sun ra,16,jazz,8.7
83,83,89,22658,dungen,16,rock,6.9
84,84,90,22638,"mica levi, oliver coates",16,experimental,7.7
85,85,91,22656,jay daniel,16,electronic,7.5
86,86,92,22669,r.e.m.,16,rock,8.4
87,87,93,22634,bruno mars,16,pop_r_b,6.2
88,88,94,22632,keita sano,16,electronic,7.4
89,89,95,22652,tredici bacci,16,jazz,7.0
90,90,96,22674,burial,16,experimental,6.9
91,91,97,22674,burial,16,electronic,6.9
92,92,98,22670,yg,16,rap,7.2
93,93,99,22646,you blew it!,16,rock,7.2
94,94,100,22535,suzanne kraft,16,electronic,8.0
95,95,101,22668,the weeknd,16,pop_r_b,6.7
96,96,103,22651,monster rally,16,electronic,6.5
97,97,104,22596,"steve reich, terry riley",16,experimental,7.2
98,98,105,22644,justice,16,electronic,5.2
99,99,106,22649,demdike stare,16,electronic,8.2
100,100,107,22583,bully fae,16,electronic,6.5
101,101,108,22595,rainbow arabia,16,pop_r_b,6.5
102,102,109,22467,kate bush,16,pop_r_b,8.5
103,103,110,22613,e-40,16,rap,6.8
104,104,111,22620,meredith monk,16,experimental,8.1
105,105,112,22633,pavo pavo,16,pop_r_b,7.2
106,106,113,22597,via app,16,electronic,7.4
107,107,114,22561,ice cube,16,rap,9.5
108,108,115,22648,dawn richard,16,pop_r_b,8.0
109,109,116,22531,"oneida, rhys chatham",16,rock,7.8
110,110,117,22531,"oneida, rhys chatham",16,experimental,7.8
111,111,118,22533,sarah davachi,16,electronic,7.5
112,112,119,22637,vicky chow,16,experimental,7.3
113,113,120,22647,"gucci mane, future",16,rap,6.9
114,114,121,22614,gillian welch,16,rock,7.9
115,115,122,22622,jeff rosenstock,16,rock,8.0
116,116,123,22636,kristin hersh,16,rock,7.5
117,117,124,22629,metallica,16,metal,6.5
118,118,125,22534,porter ricks,16,electronic,8.0
119,119,126,22565,mike watt,16,rock,8.0
120,120,127,22395,daniel bachman,16,folk_country,7.3
121,121,128,22592,autechre,16,electronic,8.2
122,122,129,22598,body/head,16,rock,7.4
123,123,130,22628,his name is alive,16,rock,6.6
124,124,131,22624,radian,16,rock,8.0
125,125,132,22619,flasher,16,rock,7.8
126,126,133,22619,flasher,16,experimental,7.8
127,127,134,22642,leonard cohen,16,rock,9.5
128,128,135,22603,tinashe,16,pop_r_b,7.8
129,129,137,22630,papa m,16,rock,7.4
130,130,138,22552,yaroze dream suite,16,electronic,6.5
131,131,139,22625,thee oh sees,16,rock,6.7
132,132,140,22618,lorenzo senni,16,electronic,7.5
133,133,141,22602,marching church,16,rock,6.4
134,134,142,22621,devonwho,16,rap,6.5
135,135,143,22607,a tribe called quest,16,rap,9.0
136,136,144,22611,sad13,16,pop_r_b,7.4
137,137,145,22616,j.g. biberkopf,16,electronic,6.3
138,138,146,22617,animals as leaders,16,metal,6.4
139,139,147,22401,washington phillips,16,folk_country,8.5
140,140,148,22394,dedekind cut,16,experimental,8.2
141,141,149,22457,michael mayer,16,electronic,7.7
142,142,150,22501,mantra percussion,16,experimental,6.8
143,143,151,22612,french montana,16,rap,7.0
144,144,152,22525,hart valley drifters,16,folk_country,7.8
145,145,153,22610,emeli sand,16,pop_r_b,5.4
146,146,154,22518,ken thomson,16,experimental,7.9
147,147,155,22527,philip glass,16,experimental,8.6
148,148,156,22623,bibi bourelly,16,pop_r_b,6.8
149,149,157,22563,loscil,16,rock,7.4
150,150,158,22563,loscil,16,global,7.4
151,151,159,22563,loscil,16,electronic,7.4
152,152,160,22505,peter stampfel,16,folk_country,7.9
153,153,161,22465,"okkyung lee, christian marclay",16,rock,8.0
154,154,162,22465,"okkyung lee, christian marclay",16,jazz,8.0
155,155,163,22465,"okkyung lee, christian marclay",16,experimental,8.0
156,156,164,22465,"okkyung lee, christian marclay",16,electronic,8.0
157,157,165,22506,minutemen,16,rock,9.5
158,158,167,22519,the men,16,rock,6.8
159,159,168,22608,oren ambarchi,16,experimental,7.5
160,160,169,22573,jacuzzi boys,16,rock,6.6
161,161,170,22609,hudson mohawke,16,electronic,7.2
162,162,171,22605,kool a.d.,16,rap,6.0
163,163,172,22606,rachel's,16,rock,8.5
164,164,173,22502,helmet,16,metal,6.8
165,165,174,22582,alicia keys,16,pop_r_b,6.5
166,166,175,22604,topaz jones,16,rap,7.2
167,167,176,22585,gaika,16,rap,7.8
168,168,177,22560,uniform,16,rock,7.2
169,169,178,22589,the chainsmokers,16,electronic,3.5
170,170,180,22392,tim buckley,16,rock,6.3
171,171,181,22347,mary halvorson,16,jazz,8.0
172,172,182,22571,sleigh bells,16,pop_r_b,5.9
173,173,183,22586,jeezy,16,rap,6.0
174,174,184,22587,shirley collins,16,folk_country,8.0
175,175,185,22550,kadhja bonet,16,pop_r_b,7.2
176,176,186,22464,soft hair,16,pop_r_b,6.8
177,177,187,22570,jim james,16,rock,7.9
178,178,188,22599,a$ap mob,16,rap,7.1
179,179,189,22558,lou barlow,16,rock,6.5
180,180,190,22415,mannequin pussy,16,rock,7.6
