year,reviewid,name,n,genre
2017,22703,massive attack,9.3,electronic
2017,22721,krallice,7.9,metal
2017,22659,uranium club,7.3,rock
2017,22661,kleenex- liliput,9.0,rock
2017,22725,taso,8.1,electronic
2017,22704,little simz,7.1,rap
2017,22694,yotam avni,7.0,electronic
2017,22714,brian eno,7.7,experimental
2017,22724,the lox,5.3,rap
2017,22715,harry bertoia,8.0,experimental
2017,22745,run the jewels,8.6,rap
2017,22700,steven warwick,7.6,electronic
2017,22720,yasiin bey,3.5,rap
2017,22699,smoke dza- pete rock,7.4,rap
2017,22666,senyawa,7.4,experimental
2016,22719,chance the rapper- jeremih,8.1,rap
2016,22719,chance the rapper- jeremih,8.1,pop_r_b
2016,22667,jamire williams,7.2,experimental
2016,22691,the-dream,7.0,rap
2016,22691,the-dream,7.0,pop_r_b
2016,22702,worm ouroboros,7.5,metal
2016,22718,nine inch nails,6.3,rock
2016,22706,elder ones,7.8,experimental
2016,22695,the microphones,6.5,rock
2016,22695,the microphones,6.5,experimental
2016,22713,ben frost,7.3,electronic
2016,22705,kacey musgraves,6.8,folk_country
2016,22532,jay som,8.2,rock
2016,22701,rashad becker,6.8,electronic
2016,22707,ray charles,9.0,jazz
2016,22708,ab-soul,4.4,rap
2016,22559,pantera,7.7,metal
2016,22692,gucci mane,7.6,rap
2016,22677,mica levi,7.1,experimental
2016,22469,kid cudi,6.7,rock
2016,22469,kid cudi,6.7,rap
2016,22711,sammus,7.2,rap
2016,22678,hodgy,5.0,rap
2016,22664,jeff parker,8.0,jazz
2016,22685,a-trak,6.4,rap
2016,22685,a-trak,6.4,electronic
2016,22689,kevin abstract,6.4,rap
2016,22681,deadmau5,5.9,electronic
2016,22698,jessy lanza,6.5,pop_r_b
2016,22684,peter broderick,6.7,experimental
2016,22693,qasim naqvi,7.5,experimental
2016,22686,post malone,4.5,rap
2016,22643,bob dylan,9.3,rock
2016,22640,ricardo villalobos- umho,7.0,electronic
2016,22688,peder mannerfelt,7.1,electronic
2016,22696,j. cole,6.7,rap
2016,22663,pink floyd,8.8,rock
2016,22687,flume,6.6,electronic
2016,22662,gaye su akyol,7.4,global
2016,22317,jeff buckley,8.0,rock
2016,22655,saba,7.0,rap
2016,22627,simian mobile disco,6.8,rock
2016,22627,simian mobile disco,6.8,electronic
2016,22555,gas,9.5,electronic
2016,22682,kodie shane,7.8,rap
2016,22679,the orchestra of syrian musicians,8.0,global
2016,22657,blessed initiative,7.5,electronic
2016,22654,neil young,6.7,rock
2016,22631,soundgarden,8.3,rock
2016,22683,nick hook,7.0,electronic
2016,22635,kjartan sveinsson,7.8,experimental
2016,22653,the rolling stones,6.9,rock
2016,22672,gucci mane- lil uzi vert,6.8,rap
2016,22536,young male,7.4,electronic
2016,22676,alex izenberg,6.3,pop_r_b
2016,22671,childish gambino,7.2,rap
2016,22675,fetty wap,6.4,rap
2016,22680,miranda lambert,7.8,folk_country
2016,22641,denitia and sene,6.6,pop_r_b
2016,22645,john legend,7.0,pop_r_b
2016,22393,yoko ono- john lennon,6.8,rock
2016,22393,yoko ono- john lennon,6.8,experimental
2016,22660,coldcut,5.2,jazz
2016,22660,coldcut,5.2,electronic
2016,22553,joan as police woman- benjamin lazar davis,6.9,rock
2016,22553,joan as police woman- benjamin lazar davis,6.9,pop_r_b
2016,22626,brand new,8.5,rock
2016,22639,sun ra,8.7,jazz
2016,22658,dungen,6.9,rock
2016,22638,mica levi- oliver coates,7.7,experimental
2016,22656,jay daniel,7.5,electronic
2016,22669,r.e.m.,8.4,rock
2016,22634,bruno mars,6.2,pop_r_b
2016,22632,keita sano,7.4,electronic
2016,22652,tredici bacci,7.0,jazz
2016,22674,burial,6.9,experimental
2016,22674,burial,6.9,electronic
2016,22670,yg,7.2,rap
2016,22646,you blew it!,7.2,rock
2016,22535,suzanne kraft,8.0,electronic
2016,22668,the weeknd,6.7,pop_r_b
2016,22651,monster rally,6.5,electronic
2016,22596,steve reich- terry riley,7.2,experimental
2016,22644,justice,5.2,electronic
2016,22649,demdike stare,8.2,electronic
2016,22583,bully fae,6.5,electronic
2016,22595,rainbow arabia,6.5,pop_r_b
2016,22467,kate bush,8.5,pop_r_b
2016,22613,e-40,6.8,rap
2016,22620,meredith monk,8.1,experimental
2016,22633,pavo pavo,7.2,pop_r_b
2016,22597,via app,7.4,electronic
2016,22561,ice cube,9.5,rap
2016,22648,dawn richard,8.0,pop_r_b
2016,22531,oneida- rhys chatham,7.8,rock
2016,22531,oneida- rhys chatham,7.8,experimental
2016,22533,sarah davachi,7.5,electronic
2016,22637,vicky chow,7.3,experimental
2016,22647,gucci mane- future,6.9,rap
2016,22614,gillian welch,7.9,rock
2016,22622,jeff rosenstock,8.0,rock
2016,22636,kristin hersh,7.5,rock
2016,22629,metallica,6.5,metal
2016,22534,porter ricks,8.0,electronic
2016,22565,mike watt,8.0,rock
2016,22395,daniel bachman,7.3,folk_country
2016,22592,autechre,8.2,electronic
2016,22598,body/head,7.4,rock
2016,22628,his name is alive,6.6,rock
2016,22624,radian,8.0,rock
2016,22619,flasher,7.8,rock
2016,22619,flasher,7.8,experimental
2016,22642,leonard cohen,9.5,rock
2016,22603,tinashe,7.8,pop_r_b
2016,22630,papa m,7.4,rock
2016,22552,yaroze dream suite,6.5,electronic
2016,22625,thee oh sees,6.7,rock
2016,22618,lorenzo senni,7.5,electronic
2016,22602,marching church,6.4,rock
2016,22621,devonwho,6.5,rap
2016,22607,a tribe called quest,9.0,rap
2016,22611,sad13,7.4,pop_r_b
2016,22616,j.g. biberkopf,6.3,electronic
2016,22617,animals as leaders,6.4,metal
2016,22401,washington phillips,8.5,folk_country
2016,22394,dedekind cut,8.2,experimental
2016,22457,michael mayer,7.7,electronic
